,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,is_short,nlpreds,reward
642,8.287,8.288,8.335047889240585,8.362131909415666,8.188,1,8.199,269102.9,8.364199999999984,0,0,1,0,go_short,-14.12226254
643,12.93,13.054,13.20868880168288,13.427721573588236,12.803,1,12.842,766988.7,13.380680000000003,0,0,1,0,go_short,15.01758926
644,8.809,8.812,8.85353800485247,8.898655536164389,8.7,1,8.72,211689.8,8.923759999999996,0,0,1,0,go_short,-7.33754267
645,9.874,9.963,10.040677466256104,10.099820533634071,9.865,1,9.908,381939.9,10.117999999999997,0,0,1,0,go_short,15.9891808
646,7.1,7.143,7.225875554739262,7.295495106311689,7.031,1,7.14,339152.0,7.295639999999978,0,0,1,0,go_short,8.69032779
647,5.177,5.177,5.173154093580979,5.174332781455149,5.161,1,5.167,56243.1,5.1683600000000025,0,0,0,0,go_short,-9.63792966
648,7.34,7.37,7.396259120433017,7.4451948486235136,7.174,1,7.277,1711002.6,7.490320000000022,0,0,1,0,go_short,1.33340938
649,0.7381000000000001,0.7471,0.7353848174237483,0.7324657722449897,0.738,0,0.7466,4412626.0,0.7318680000000279,0,0,0,1,go_short,1.38019552
650,0.724,0.7336,0.7161505492519551,0.7116517312331851,0.7237,0,0.7324,1256777.0,0.7097320000000263,0,0,0,1,go_short,-19.50819413
651,0.5822,0.5896,0.5799273084293673,0.5781315011550712,0.5803,0,0.588,668410.0,0.5780160000000257,0,0,0,1,go_short,13.32382667
652,0.955,0.9579,0.9476800529546172,0.9374199611783336,0.953,1,0.9556,310078.0,0.9341800000000268,0,0,0,1,go_short,16.77955588
653,1.4165,1.4169,1.4589395296299554,1.5049363765932533,1.3855,1,1.3937,2146044.0,1.5127040000000194,1,0,1,1,go_short,17.86682967
654,2.1291,2.1477,2.094476829815238,2.057863711054969,2.114,1,2.1397,1089985.0,2.0438960000000166,0,0,0,1,go_short,-17.693062
655,1.5763,1.5833,1.5563582756645495,1.540394834075539,1.5711,1,1.5772,1606324.0,1.531828000000016,1,0,0,1,go_short,3.14152074
656,1.788,1.803,1.763988527636951,1.746126249848512,1.782,0,1.8,1798432.0,1.7445600000000134,0,0,0,1,go_short,-19.38372274
657,1.511,1.516,1.4983721019031315,1.496639048133757,1.477,1,1.479,3386554.0,1.4936400000000152,0,0,0,1,go_short,-15.90576697
658,7.739,7.739,7.808642009594963,7.990312137272442,7.655,0,7.666,118259.0,8.015480000000055,0,0,1,0,go_short,-2.63612145
659,0.973,0.975,0.975929179037539,0.9774603075808352,0.971,1,0.971,125120.0,0.9768000000000626,0,0,1,0,go_short,-4.59768171
660,1.85,1.855,1.871521130002858,1.8829693880073024,1.844,1,1.849,1079264.0,1.8871600000000623,0,0,1,0,go_short,14.48486083
661,6.166,6.166,6.190669447583023,6.261008702812791,5.835,1,5.839,2816052.0,6.273640000000078,0,0,1,0,go_short,103.24093033
662,5.242,5.259,5.308862391838465,5.367151953387909,5.187,1,5.196,487127.0,5.383120000000079,0,0,1,0,go_short,-0.31642194
663,4.603,4.62,4.6503266757738295,4.6925413421911495,4.601,1,4.61,100349.0,4.714440000000083,0,0,1,0,go_short,-12.91382893
664,5.522,5.546,5.552430543371443,5.654345873053281,5.471,0,5.477,120946.3,5.684959999999969,1,0,1,0,go_short,-5.0662927
665,5.348,5.356,5.439439557899809,5.546246539054306,5.125,1,5.21,1129121.0,5.603280000000111,0,0,1,0,go_short,-18.94979598
666,4.452,4.468,4.488696872174075,4.530776837845785,4.45,0,4.467,43021.0,4.537720000000137,0,0,1,0,go_short,-20.1294122
667,4.209,4.23,4.228845458354214,4.255281786006427,4.208,1,4.223,47839.0,4.240960000000134,1,0,1,0,go_long,11.50430647
668,3.953,3.953,4.011827896868328,4.040312065744044,3.915,1,3.921,447950.0,4.070880000000132,0,0,1,0,go_long,24.98794777
669,4.933,4.94,5.012536388232042,5.087556850041986,4.841,1,4.858,529737.0,5.11720000000014,0,0,1,0,go_short,22.31594283
670,2.171,2.214,2.13694806355726,2.1106528602557515,2.167,0,2.198,5160923.0,2.1082000000000165,0,0,0,1,go_short,9.39157225
671,1.148,1.156,1.1431568822637896,1.1363217494618456,1.148,0,1.154,1019130.0,1.1352000000000122,0,0,0,1,go_short,19.22716866
672,6.983,7.009,6.971726043193046,6.99565833285009,6.918,1,6.924,218050.0,6.997560000000146,0,0,1,0,go_short,11.93140323
673,7.155,7.2,7.231988482994343,7.309010203302192,7.144,1,7.167,75321.0,7.304360000000015,0,0,0,0,go_short,-16.63572513
674,6.343,6.346,6.36835683547143,6.39226857708841,6.324,1,6.335,123070.5,6.398119999999975,0,0,1,0,go_short,21.74790594
675,0.3956,0.4216,0.3925838968501684,0.3894250949675202,0.3935,0,0.4215,3065720.0,0.3890160000000003,0,0,0,1,go_short,-15.54575322
676,1.0713,1.0804,1.0566183732418564,1.0448580770032867,1.0698,0,1.0796,187666.5,1.0407200000000134,0,0,0,1,go_short,27.894157
677,1.835,1.8492,1.833814954114788,1.8289138171921009,1.8299,0,1.8478,348453.6,1.829080000000012,0,0,0,1,go_short,-2.96534402
