,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry)
26,175.3,175.3,173.8664663750503,174.22271854077923,165.95,1,169.9,291928.0,174.26999999999822,1,0,go_long,173.90000000000097,173.97142857144695,go_long,go_long,go_long,-3.3461275,first_buy,stop_loss,go_long,go_long
27,56734.9,56849.9,56777.135494101625,57117.85926917493,54661.3,1,55348.7,10496020.0,57148.45200000003,0,0,go_long,56525.19999999953,56747.2857142857,go_long,go_long,go_long,-2.18409454,first_buy,stop_loss,go_long,go_long
28,29757.9,29762.5,30399.79873796296,30811.082899187622,29321.0,1,29548.5,12470422.0,31028.65599999978,1,0,go_long,29912.199999999768,30083.50000000061,go_long,go_long,go_long,-3.49817601,first_buy,stop_loss,go_long,go_long
29,1.2244,1.2244,1.2446484269429718,1.2603007612144583,1.2177,1,1.2177,210.0,1.260759999999998,0,0,go_short,1.2381800000000118,1.242242857142861,go_short,go_short,go_short,-4.814139,second_buy,stop_loss,go_short,go_short
30,0.1047,0.1047,0.1037203522089914,0.1070704805667028,0.0809,1,0.0863,5286799.0,0.1082319999999996,0,0,go_short,0.1016800000000405,0.1030714285714408,go_short,go_short,go_short,-3.4962898,second_buy,stop_loss,go_short,go_short
31,358.644,360.0,362.96883361598,366.1527505116102,357.125,1,358.886,519146.0,366.5381199999994,0,0,go_long,361.2652000000049,362.0369999999999,go_long,go_long,go_long,-3.54207765,first_buy,stop_loss,go_long,go_long
32,107.15,107.15,107.13679032449488,107.65313772307374,105.4,1,106.25,71174.0,107.76399999999818,0,0,go_long,106.84000000000135,106.91428571430382,go_long,go_long,go_long,0.718264,first_buy,trailing_stop_loss,go_long,go_long
33,664.95,679.9,706.0958470384833,726.0020260964054,584.5,1,621.55,558782.0,729.0840000000006,0,0,go_long,690.7700000000016,703.2142857142917,go_long,go_long,go_long,-0.2715846,first_buy,trailing_stop_loss,go_long,go_long
34,679.15,679.15,681.9242666370352,684.2267311255544,674.4,1,675.3,7432.0,684.4980000000007,0,0,go_long,681.6900000000009,682.3428571428649,go_long,go_long,go_long,-0.4933267,first_buy,trailing_stop_loss,go_long,go_long
35,442.4,443.35,445.934915419964,450.2946180062066,439.45,0,439.6,13395.0,452.5120000000006,0,0,go_long,442.2399999999986,442.7714285714361,go_long,go_long,go_long,4.6861056,first_buy,trailing_stop_loss,go_long,go_long
36,592.15,593.55,601.6115813860738,605.9553544160134,587.35,1,589.95,20769.0,607.0160000000008,0,0,go_long,597.0599999999993,600.8571428571506,go_long,go_long,go_long,-1.4891092,first_buy,trailing_stop_loss,go_long,go_long
37,235.75,236.75,238.38763593096027,240.2581577467303,233.9,1,235.6,183830.0,240.97599999999815,0,0,go_long,237.040000000004,237.3642857143038,go_long,go_long,go_long,-0.15158223,first_buy,trailing_stop_loss,go_long,go_long
