,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action
0,0.5345,0.5364,0.4974616326033601,0.4890064188844211,0.5113,0,0.5218,7898190.4,0.4885480000000021,0,0,0.5024599999999642,0.4976857142856906,5.98406948,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
1,0.1822,0.1834,0.1805160941886388,0.1788093466558674,0.1819,0,0.1833,1294002.0,0.1787880000000029,0,0,0.1814799999999984,0.1808285714285665,-5.37231572,second_buy,do_nothing,do_nothing,go_short,go_short,go_short,go_short,force_exit,go_short
2,0.025338,0.025348,0.0256005600822475,0.0260328166769642,0.024288,1,0.024401,1798129530.0,0.026236,0,0,0.0252594,0.0253558571428572,4.14718565,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
3,1.626,1.6475,1.5926902152549445,1.571093961166273,1.6232,0,1.6239,100481925.9,1.5712719999999942,1,0,1.6121199999999871,1.603328571428588,4.22822111,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
4,14.53,14.538,14.086797908587636,13.912075158316254,14.125,0,14.23,73593.8,13.866319999999778,0,0,14.17239999999983,14.174857142857077,1.88627511,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
5,3.5011,3.5165,3.3902542974551717,3.3550859535204647,3.451,0,3.4944,1436381.0,3.3346639999999947,0,0,3.4391600000001707,3.4079857142857817,4.48646905,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
6,0.5833,0.5868,0.5747257957658296,0.5662361643885395,0.5799000000000001,0,0.5863,782047.0,0.5642680000000031,0,0,0.5802199999999955,0.5778714285714704,4.80210988,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
7,1.0168,1.044,0.9905838840502004,0.9715092525392156,1.0129,0,1.0314,81911854.0,0.9773839999999928,0,0,0.9993000000000072,0.99344285714286,1.09702464,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
8,631.15,632.4,640.50736907441,645.0783528114802,618.18,1,621.8,99544.14,647.5323999999925,0,0,634.1419999999893,638.4057142857067,2.37576079,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
9,0.549,0.55,0.5359161789871612,0.5268408146816873,0.537,1,0.541,6228569.1,0.5274399999999946,0,0,0.540399999999984,0.5390000000000328,-0.4206549,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
