,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
20,2.438,2.441,2.462620237835272,2.4955131263748065,2.431,0,2.434,194309.4,2.508280000000011,1,0,go_short,2.4394000000000178,2.4411428571427654,go_short,go_short,go_short,0.69320319,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
21,2.415,2.453,2.399411436442063,2.3848583780646164,2.412,0,2.447,2030552.1,2.3832000000000084,0,0,go_short,2.4158000000000137,2.4072857142856257,go_short,go_short,go_short,0.10762536,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
22,4.171,4.186,4.196493278278274,4.217977067374539,4.156,1,4.16,663392.9,4.2100400000000135,0,0,go_short,4.187400000000009,4.190999999999919,go_short,go_short,go_short,0.06851184,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
23,4.182,4.194,4.176859588901779,4.174247344148284,4.163,1,4.166,342732.7,4.169200000000018,1,0,go_short,4.183200000000015,4.179571428571351,go_short,go_short,go_short,0.03685231,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
24,4.042,4.056,4.069753121920706,4.089084319420251,4.032,1,4.038,600025.4,4.083880000000018,0,0,go_short,4.063400000000015,4.065714285714209,go_short,go_short,go_short,1.82848098,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
25,3.894,3.899,3.895765614161727,3.898556700188271,3.883,1,3.899,241260.9,3.896480000000017,0,0,go_short,3.900400000000019,3.897571428571349,go_short,go_short,go_short,0.85700345,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
26,4.007,4.021,4.013533215319636,4.005208124967767,3.996,1,4.019,522557.7,4.005920000000017,0,0,go_short,4.018600000000026,4.018142857142779,go_short,go_short,go_short,0.21882131,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
27,3.969,3.972,3.9713623926679182,3.983206955654008,3.953,1,3.958,270085.5,3.971680000000017,0,0,go_short,3.9656000000000233,3.972142857142783,go_short,go_short,go_short,3.79925599,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
28,3.217,3.228,3.245888296690121,3.235867502758349,3.208,1,3.222,761386.1,3.246960000000016,0,0,go_short,3.23200000000002,3.2477142857142134,go_short,go_short,go_short,0.04976392,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
29,3.38,3.387,3.388586248255696,3.393463913743406,3.374,1,3.383,401526.2,3.389640000000014,0,0,go_short,3.388800000000012,3.387285714285636,go_short,go_short,go_short,4.9014809,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
30,3.057,3.058,3.1006837897648905,3.133470327413144,3.005,1,3.026,4032596.2,3.1382800000000133,0,0,go_short,3.082400000000012,3.094999999999925,go_short,go_short,go_short,0.31095765,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
31,3.011,3.015,3.0196832151395463,3.04242546877594,2.982,1,2.987,1025124.8,3.046080000000011,0,0,go_short,3.0090000000000017,3.012857142857065,go_short,go_short,go_short,0.10245459,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
32,3.009,3.026,3.088373113489111,3.1318822830968216,3.004,1,3.009,1157131.2,3.1532400000000087,0,0,go_short,3.039400000000009,3.0668571428570632,go_short,go_short,go_short,2.44628888,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
33,2.853,2.854,2.8586225924191,2.85878708119203,2.836,1,2.837,212682.6,2.8698000000000103,0,0,go_short,2.8546000000000094,2.857857142857063,go_short,go_short,go_short,0.42438423,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
34,2.628,2.68,2.6713459103661745,2.6915836071552937,2.624,1,2.649,3265675.1,2.6839600000000097,0,0,go_short,2.670000000000009,2.683999999999913,go_short,go_short,go_short,0.16140466,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
35,2.261,2.269,2.295975998221896,2.3401682031676847,2.198,1,2.214,3191458.4,2.355720000000012,1,0,go_short,2.259000000000014,2.2677142857141965,go_short,go_short,go_short,0.73294343,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
36,2.169,2.182,2.189262873048168,2.197135750143932,2.162,1,2.169,1496073.9,2.195040000000012,0,0,go_short,2.184400000000014,2.191857142857053,go_short,go_short,go_short,0.01143068,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
37,2.231,2.234,2.2080078680398345,2.1993560338793103,2.206,1,2.207,512305.3,2.1863600000000103,0,0,go_short,2.217200000000009,2.219714285714196,go_short,go_short,go_short,0.0028144,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
38,2.339,2.346,2.334827505018951,2.3342148413046044,2.333,0,2.341,477511.1,2.333600000000008,0,0,go_short,2.33520000000001,2.335428571428482,go_short,go_short,go_short,1.78556258,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
39,2.263,2.27,2.2496780722828853,2.2384983015800715,2.257,1,2.257,613040.6,2.235480000000011,0,0,go_short,2.25840000000002,2.256142857142766,go_short,go_short,go_short,0.03716508,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
40,2.251,2.256,2.265815410302781,2.2796461551158838,2.247,0,2.25,593495.6,2.287680000000011,0,0,go_short,2.247000000000019,2.2531428571427674,go_short,go_short,go_short,4.35342669,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
41,2.129,2.136,2.11763749302145,2.1076903217210026,2.127,0,2.134,600628.2,2.1093600000000112,0,0,go_short,2.1278000000000192,2.1237142857141964,go_short,go_short,go_short,1.30206443,second_buy,do_nothing,do_nothing,do_nothing,do_nothing,go_long,go_long,roi,go_short,go_short
