,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
328,0.33977,0.34344,0.3416472160753152,0.3465672214144684,0.33095,1,0.33343,21532.0,0.3486444000000218,0,0,go_short,0.3395459999999909,0.3404285714285672,go_short,go_short,go_short,0.3066024,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
329,0.31695,0.31761,0.3204887914251643,0.3299566546448628,0.31,0,0.31105,21487.0,0.3317156000000216,0,0,go_short,0.3158999999999909,0.3153857142857101,go_short,go_short,go_short,0.0257592,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
330,0.31454,0.31454,0.3158234518296249,0.3173026822339295,0.30968,1,0.31054,12623.0,0.3174072000000209,0,0,go_short,0.3148519999999905,0.3152071428571377,go_short,go_short,go_short,0.0246642,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
331,0.30937,0.3094,0.3101988576844894,0.3122645077241112,0.3031,1,0.30487,5847.0,0.3123588000000207,0,0,go_short,0.3095539999999905,0.3099828571428518,go_short,go_short,go_short,0.0367917,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
332,0.30387,0.30456,0.3045040846125555,0.3058850152331148,0.30219,0,0.30282,1603.0,0.3052532000000209,0,0,go_short,0.3034319999999905,0.3036942857142802,go_short,go_short,go_short,0.0352452,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
333,0.30524,0.30524,0.3076088654565286,0.3074473018068959,0.30183,1,0.30414,3650.0,0.307454000000021,0,0,go_short,0.3072559999999903,0.3078442857142802,go_short,go_short,go_short,0.0238246,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
334,0.30497,0.30497,0.3021501272523275,0.3033084749202379,0.30328,0,0.30365,308.0,0.303917600000021,0,0,go_short,0.3019819999999904,0.3009557142857089,go_short,go_short,go_short,0.0373431,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
335,0.30389,0.30389,0.3040681309681521,0.3045890725460114,0.30073,1,0.30143,3316.0,0.3051196000000209,0,0,go_short,0.3033999999999903,0.3036571428571374,go_short,go_short,go_short,0.0372948,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
336,0.29993,0.29993,0.3003488450231469,0.3012387539389159,0.29874,0,0.29982,1501.0,0.3010344000000209,0,0,go_short,0.3000439999999903,0.3002699999999946,go_short,go_short,go_short,0.036036,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
337,0.30041,0.30043,0.3008832304927937,0.3013033054484913,0.29603,1,0.29914,34411.0,0.3014128000000208,0,0,go_short,0.3004919999999899,0.3007671428571372,go_short,go_short,go_short,0.0356403,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
338,0.29904,0.29909,0.2984721228195558,0.2990803892997122,0.29004,1,0.29188,52122.0,0.2992484000000208,0,0,go_short,0.2981119999999898,0.298838571428566,go_short,go_short,go_short,0.148857,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
339,0.28628,0.28628,0.2867139081769295,0.2895605697030051,0.2855,0,0.28561,4848.0,0.2902276000000209,0,0,go_short,0.2858139999999899,0.2858799999999944,go_short,go_short,go_short,0.0645414,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
340,0.28295,0.28419,0.2836177152761835,0.2853188369219891,0.28289,0,0.28375,8990.0,0.2846768000000208,0,0,go_short,0.28265399999999,0.2829142857142802,go_short,go_short,go_short,0.0343677,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
341,0.33474,0.33656,0.3386567991813108,0.340861593991794,0.33401,1,0.33654,14780.0,0.3402084000000222,0,0,go_short,0.3379879999999922,0.3380442857142823,go_short,go_short,go_short,0.0275354,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
342,0.34076,0.34076,0.3430372691943637,0.3461775905122579,0.33558,1,0.33713,44994.0,0.3475996000000223,0,0,go_short,0.3408819999999922,0.3419971428571394,go_short,go_short,go_short,0.0383586,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
343,0.35029,0.35035,0.3512646037795613,0.3519767738124771,0.34773,1,0.34872,7376.0,0.3522004000000222,0,0,go_short,0.3501859999999923,0.3508228571428536,go_short,go_short,go_short,0.2444896,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
344,0.3546,0.35469,0.3554836249593323,0.3560934220587829,0.34886,1,0.35031,113985.0,0.3564836000000222,0,0,go_short,0.3549479999999924,0.3555157142857105,go_short,go_short,go_short,0.027033,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
345,0.55666,0.5572400000000001,0.5584743308030239,0.5738581149814407,0.53947,1,0.5420400000000001,12671.0,0.5728996000000237,1,0,go_short,0.554401999999989,0.5508299999999982,go_short,go_short,go_short,0.4720436,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
346,0.4937,0.49835,0.5161799989668243,0.538823860445143,0.47285,0,0.48405,14989.0,0.5397984000000238,0,0,go_short,0.5022739999999889,0.5073685714285695,go_short,go_short,go_short,0.0198076,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
347,0.48432,0.48927,0.5040666184825635,0.5155790667785096,0.47693,1,0.47777,17353.0,0.5126240000000238,0,0,go_short,0.492609999999989,0.499049999999998,go_short,go_short,go_short,0.6196486,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
348,0.41614,0.4216,0.4392650916657702,0.4677748837563655,0.40311,0,0.41136,22709.0,0.4802628000000238,0,0,go_short,0.4165819999999889,0.4259171428571408,go_short,go_short,go_short,0.0321928,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
349,0.43386,0.434,0.4261977524774644,0.4262331930550359,0.40179,1,0.413,339271.0,0.4271632000000226,0,0,go_short,0.4257879999999893,0.4262142857142827,go_short,go_short,go_short,0.0338872,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
350,0.41268,0.41332,0.4136120587492865,0.4144131056153541,0.41085,1,0.41175,22835.0,0.4143008000000225,0,0,go_short,0.4131779999999914,0.4133785714285675,go_short,go_short,go_short,0.2887996,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
351,0.40421,0.40421,0.406287634635064,0.4093088317203207,0.39562,1,0.40085,166483.0,0.4105348000000226,0,0,go_short,0.4040959999999914,0.4045099999999961,go_short,go_short,go_short,0.0964828,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
352,0.28375,0.28375,0.2840458458269084,0.2844347812229872,0.28141,1,0.28225,14219.0,0.2837536000000209,0,0,go_short,0.2841499999999899,0.2844128571428516,go_short,go_short,go_short,0.4971696,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
353,0.39512,0.39683,0.3952365367420763,0.3981303512659636,0.39491,0,0.39682,6949.0,0.3969820000000225,0,0,go_short,0.3952819999999915,0.395109999999996,go_short,go_short,go_short,0.030745,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
354,0.39543,0.39592,0.397300545866184,0.3976119170608087,0.39257,1,0.39317,55684.0,0.3978204000000224,0,0,go_short,0.3965259999999915,0.3973428571428531,go_short,go_short,go_short,0.030465,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
355,0.39196,0.39208,0.3921992594182251,0.3935423953946936,0.38986,1,0.39022,7287.0,0.3937700000000223,1,0,go_short,0.3916199999999914,0.3916671428571389,go_short,go_short,go_short,0.032199,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
356,0.38874,0.38874,0.3895337299501417,0.3904979755469542,0.38492,1,0.38639,46271.0,0.3904696000000223,0,0,go_short,0.3889519999999913,0.3892557142857102,go_short,go_short,go_short,0.1541046,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
357,0.37815,0.38026,0.3839507339414295,0.3860873392596441,0.37815,1,0.37995,38432.0,0.3865448000000224,0,0,go_short,0.3829999999999914,0.3835371428571387,go_short,go_short,go_short,0.051475,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
358,0.37646,0.37646,0.3783226510544508,0.3807946185145675,0.37195,1,0.37223,50302.0,0.3808012000000224,0,0,go_short,0.3767279999999914,0.3779357142857101,go_short,go_short,go_short,0.029752,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
359,0.37102,0.37102,0.3718547408679747,0.3744553847535291,0.36325,1,0.36578,113456.0,0.3744684000000225,0,0,go_short,0.3711219999999914,0.3712114285714243,go_short,go_short,go_short,0.2569992,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
360,0.35342,0.35386,0.3601357508793573,0.3644776102704988,0.34842,1,0.35315,159229.0,0.3650316000000224,0,0,go_short,0.3580579999999915,0.3594014285714245,go_short,go_short,go_short,0.0274728,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
361,0.39548,0.39548,0.3959058751788256,0.3964271036830553,0.39423,1,0.39496,4806.0,0.3960512000000223,0,0,go_short,0.3957799999999914,0.3960114285714246,go_short,go_short,go_short,0.0310006,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
362,0.5770200000000001,0.57998,0.5929986205649916,0.6037156769646118,0.56586,1,0.5711400000000001,8367.0,0.6102860000000238,0,0,go_short,0.5849179999999887,0.5918757142857125,go_short,go_short,go_short,0.2004946,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
363,0.26528,0.2653,0.268850425778661,0.2745994686669515,0.26399,0,0.2645,11739.0,0.2773228000000209,0,0,go_short,0.2635299999999901,0.2635057142857087,go_short,go_short,go_short,0.0694158,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
364,0.26338,0.26349,0.2631389372362639,0.263444567730106,0.25887,1,0.26069,41141.0,0.2634328000000209,0,0,go_short,0.26303799999999,0.26325428571428,go_short,go_short,go_short,0.1339296,second_buy,go_long,go_short,go_short,go_short,go_short,go_short,roi,go_short,go_short
