,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action
0,0.2604,0.2719,0.2519345531752244,0.2449584317698141,0.2604,0,0.2714,42803563.6,0.2433400000000044,0,0,0.2579199999999918,0.254514285714261,0.3071566,second_buy,do_nothing,go_long,do_nothing,do_nothing,go_short,go_short,force_exit,go_short
1,8.529,8.95,8.2889932116188,8.05303407993968,8.517,0,8.852,8002350.3,8.00627999999974,0,0,8.420800000000193,8.344857142857453,-0.9813448,first_buy,go_long,go_long,go_short,go_short,go_long,go_long,force_exit,do_nothing
2,1.0785,1.1575,1.0365537143781751,1.0067262987659198,1.0767,0,1.1218,130450154.0,1.000779999999993,0,0,1.0541400000000074,1.0391571428571458,-3.87828747,first_buy,go_short,do_nothing,go_short,go_short,go_long,go_long,force_exit,do_nothing
3,1.1951,1.2413,1.0982730997747212,1.0464464905821438,1.1726,0,1.2191,9721665.0,1.0353960000001097,0,0,1.149459999999724,1.1125571428572614,-2.14757076,first_buy,go_short,do_nothing,do_nothing,do_nothing,go_long,go_long,force_exit,do_nothing
4,0.374,0.3818,0.3625073635242792,0.3547949175991428,0.3716,0,0.3733,48722453.7,0.3514600000000195,0,0,0.3678199999999844,0.3661714285714303,7.23061298,first_buy,go_long,go_long,go_short,go_short,do_nothing,do_nothing,force_exit,go_long
5,30.552,30.65,29.64852030215669,29.01818975893755,29.722,1,29.902,365240.7,28.84812000000008,1,0,30.077200000000357,30.02928571428557,0.5643465,first_buy,go_long,go_long,go_short,go_short,go_long,go_long,force_exit,go_long
6,1.6767,1.7195,1.6223614157388702,1.569472911002928,1.6617000000000002,0,1.7195,790268.3,1.5556560000000144,0,0,1.6644799999999649,1.6446142857142938,-7.22051688,first_buy,go_short,go_short,do_nothing,do_nothing,go_long,go_long,force_exit,do_nothing
7,1.3008,1.3062,1.207647801645216,1.1849593445909288,1.2268,1,1.2286,24364181.0,1.1812000000000262,1,0,1.2284599999999837,1.2137142857142644,8.79373229,first_buy,go_long,go_short,go_short,go_short,go_short,go_short,force_exit,go_long
8,84.222,94.7,78.3407710278606,70.40069622161748,83.725,0,94.384,823172.4,66.70055999999973,0,0,84.4884000000028,83.18285714285791,-12.55445512,first_buy,go_short,go_short,go_short,go_short,go_short,go_short,force_exit,do_nothing
9,3.769,3.834,3.583015821872996,3.5014025571376104,3.738,0,3.773,869635.6,3.470359999999912,1,0,3.652799999999626,3.610714285714401,0.53788933,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,force_exit,go_long
10,105.06,105.15,101.62680110204332,98.95819362569254,102.56,1,103.1,132666.172,98.48000000000177,0,0,102.94199999999805,102.5142857142889,-0.9751213,first_buy,go_long,go_long,go_short,go_short,do_nothing,do_nothing,force_exit,do_nothing
11,0.14569,0.156,0.1349831522088983,0.1258367845864619,0.14442,0,0.15519,78109032.0,0.1224808000000014,0,0,0.1418619999999928,0.1386057142857196,-2.85688421,first_buy,go_long,go_long,go_short,go_short,go_short,go_short,force_exit,do_nothing
12,7705.0,7724.0,7003.495054993407,6532.317123322169,7400.0,0,7595.0,810.428,6371.199999999935,1,0,7417.400000000047,7222.285714285615,0.64301822,first_buy,go_long,go_long,go_short,go_short,go_long,go_long,force_exit,go_long
13,1977.2,1980.5,1896.893664312456,1849.2269056900705,1950.8,0,1973.4,2341.623,1835.7319999999957,0,0,1946.4800000000027,1917.199999999969,-5.15702576,first_buy,go_long,go_long,go_short,go_short,do_nothing,do_nothing,force_exit,do_nothing
14,10.4,10.478,9.612858002988972,9.25365178074552,10.162,0,10.185,1227502.6,9.105119999999967,0,0,9.938799999999771,9.761285714285773,12.94551242,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
15,12.413,12.6,11.63542347632132,11.208195083490397,12.3,0,12.431,1049219.0,11.03255999999998,0,0,12.071199999999765,11.836857142857196,11.415692,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
16,8.923,8.963,9.158649585822316,9.27154884231196,8.761,1,8.882,321644.9,9.268679999999977,0,0,9.077999999999696,9.13671428571433,12.63878321,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
17,10.719,10.927,10.454546191297265,10.352879116851549,10.704,0,10.806,613768.4,10.330719999999983,0,0,10.5229999999997,10.477142857142908,10.53165223,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
18,6.364,6.368,6.077010550337671,5.892056409065934,6.17,1,6.193,407736.0,5.830479999999992,0,0,6.160399999999939,6.137857142857152,11.65845885,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
19,5.164,5.228,5.202597097461705,5.189269035014004,5.1370000000000005,0,5.222,73337.3,5.188839999999992,0,0,5.176399999999937,5.184714285714285,13.09457607,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
20,7.536,7.571,7.303137947571419,7.160060903322927,7.412,1,7.429,542603.8,7.137079999999997,1,0,7.409399999999941,7.36771428571429,11.40047386,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
21,8.939,8.956,8.674184792025851,8.616118819692346,8.684,0,8.701,643892.5,8.637439999999968,1,0,8.717199999999773,8.677714285714346,11.74616032,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
22,1.005,1.007,1.0511397913664051,1.1655382213022096,0.775,1,0.8190000000000001,80237.9,1.2114000000000018,0,0,0.9760000000000076,0.9934285714285744,241.46774378,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
23,14.904,15.055,14.201307391135709,14.044911197135107,14.102,1,14.203,1659004.9,13.992919999999986,1,0,14.288199999999694,14.251000000000063,13.81374139,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
24,6.652,6.652,6.703879878722206,6.748861539086427,6.468,1,6.5440000000000005,322326.1,6.75127999999996,0,0,6.669599999999679,6.691714285714375,10.67058012,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
25,7.683,7.764,7.61823681613716,7.570628561826962,7.663,0,7.74,604479.5,7.554359999999962,0,0,7.6489999999996865,7.643142857142943,10.74299125,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
26,12.705,12.748,12.557450295178649,12.45226950489154,12.565,1,12.572,136067.8,12.427239999999989,0,0,12.608999999999696,12.599571428571483,10.91428206,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
27,7.514,7.67,7.292798712775088,7.230844791319936,7.502,0,7.541,361107.7,7.214559999999984,0,0,7.33999999999979,7.2908571428572,10.81453769,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
28,6.436,6.45,6.537220109800111,6.691586862246973,6.313,1,6.322,170551.3,6.6730799999999935,0,0,6.471599999999782,6.504142857142919,11.78746324,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
29,8.871,8.98,9.050302091148492,9.156660380656607,8.667,1,8.716,312065.5,9.214479999999988,0,0,8.932999999999769,8.988571428571474,12.03735428,first_buy,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,long-exit-proift,go_long
