,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action
0,0.5345,0.5364,0.4974616326033601,0.4890064188844211,0.5113,0,0.5218,7898190.4,0.4885480000000021,0,0,0.5024599999999642,0.4976857142856906,5.98406948,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
1,0.025338,0.025348,0.0256005600822475,0.0260328166769642,0.024288,1,0.024401,1798129530.0,0.026236,0,0,0.0252594,0.0253558571428572,4.14718565,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
2,70.163,70.174,70.83160489662535,72.14869862856285,66.268,1,66.821,155618.2,72.79475999999968,0,0,69.89540000000281,70.1638571428579,6.35373879,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
3,12.157,12.158,12.364977782197808,12.61634762627586,11.528,1,11.61,160118.5,12.737439999999769,0,0,12.155199999999835,12.236999999999933,15.86802913,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
4,0.12556,0.12652,0.1301592277544063,0.1331461776779675,0.12468,1,0.12518,9638808.0,0.1346248000000014,0,0,0.1276019999999928,0.128997142857148,-11.61319134,second_buy,do_nothing,do_nothing,go_short,go_short,go_short,go_short,force_exit,go_short
5,0.4773,0.4821,0.4977208156759021,0.5034691184595059,0.4578,1,0.4785,7147009.0,0.506404000000003,1,0,0.4874799999999964,0.4944857142857564,19.47878978,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
6,0.04456,0.04459,0.0455317821116216,0.0463797646040715,0.04306,1,0.04342,36820939.0,0.0469071999999998,0,0,0.044721999999999,0.0448642857142856,7.20786566,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
7,0.46423,0.46584,0.4457964933231442,0.4413183434121237,0.44822,0,0.45202,119154025.0,0.4424152000000012,0,0,0.4485600000000023,0.4458514285714283,10.72651823,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
8,0.3201,0.3212,0.3254034561305821,0.3302490987377081,0.3156,1,0.316,3214604.2,0.3315639999999916,0,0,0.3211599999999876,0.3235142857142437,19.52850987,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
9,3.6249,3.6606,3.300578368661092,3.235343437088456,3.2468,1,3.3058,10668445.0,3.227871999999992,0,0,3.352420000000168,3.300257142857215,7.69994809,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
10,613.65,613.9,615.3441406348038,618.0936831673429,603.78,1,605.02,62785.54,617.0763999999922,0,0,614.3859999999878,615.4371428571355,4.71186483,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
11,0.0021681,0.0021709,0.0021944480554055,0.0022411562532161,0.0021016,1,0.0021042,128061266.0,0.002266212,0,0,0.00215616,0.0021719142857143,7.56120161,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
12,3325.61,3349.58,3292.4265793579584,3258.179042143886,3302.21,1,3314.54,143936.296,3241.8975999999807,1,0,3308.0079999999625,3307.9557142856675,4.19346882,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
